LP,Plot,TypPp,NrPp,Rok,Okres,Actea_spicata,Poa_nemoralis,Chrysosplenium_alternifolium,Galeopsis_pubescens,Mycelis_muralis,Scrophularia_nodosa,Sanicula_europaea,Pteridium_aquilinum,Dryopteris_filix_mas,Lathyrus_vernus,Dryopteris_expansa,Lamium_maculatum,Anemone_nemorosa,Dryopteris_dilatata,Circaea_lutetiana,Veronica_montana,Dryopteris_carthusiana,Pulmonaria_obscura,Aegopodium_podagraria,Rubus_idaeus,Stachys_sylvatica,Gymnocarpium_dryopteris,Viola_reichenbachiana,Urtica_dioica,Geranium_robertianum,Maianthemum_bifolium,Rubus_hirtus,Athyrium_filix_femina,Galium_odoratum,Impatiens_noli_tangere,Circaea_alpina,Galeobdolon_luteum,Oxalis_acetosella,RowSum
384,5A,I,35,21,L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,4,0,0,50,0,3,1,8,8,0,100
428,5A,I,39,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,15,17,18,15,13,4,100
439,5A,W,40,21,L,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,17,0,0,1,0,0,1,35,1,10,10,8,1,100
461,5A,W,42,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,10,12,26,46,100
483,5A,W,44,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,20,0,0,8,25,12,13,14,100
527,5,W,48,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,10,22,13,25,8,100
538,5,I,49,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,1,0,5,0,0,35,10,18,6,100
549,5,W,50,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,8,1,23,5,20,23,100
571,5,W,52,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,1,0,0,0,10,0,15,35,15,100
582,5,I,53,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,0,8,0,1,1,12,28,16,100
637,5,I,58,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,20,100
648,5A,W,59,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,0,0,1,0,0,0,0,6,1,21,0,0,19,1,11,11,100
659,5A,W,60,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,1,0,0,10,25,1,18,8,15,1,100
736,5A,W,67,21,L,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,17,0,0,20,6,1,16,1,10,1,100
747,5A,W,68,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,15,18,0,0,58,0,0,5,0,0,0,1,0,0,100
758,5A,I,69,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,14,0,36,16,12,1,100
769,5,I,70,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,65,100
